hospital_name,city,address,icu_beds,oxygen_beds,normal_beds
Aditya Netralaya,Bangalore,"#244, 7Th Cross 6 Block 3 Puase 3Block Banashankari, Bangalore-560085",16,28,53
Aditya Orthopaedic & Trauma Centre,Tumkur,"Sri Shivakumar Swamy Circle, Bh Raod Tumkur-2",17,9,51
Aeinullah Eye Hospital,Bangalore,"#90, Austin Town Layout, Near B.D.A Shopping Complex.",5,7,61
Agadi Hospital & Research Centre,Bangalore,"35, H Siddhaiah Road, Wilson Garden, Bangalore-560027Wilson Garden",11,33,37
Ajay Medical Centre,Chellakere,Near Bus Stand Chellakere,20,34,65
Ajit Surgical & Maternity Home,Belgaum,"Chikkodi Road,Raibag",5,6,56
Akshare Eye Foundation,Tumkur,"#6052 Railway Station Road,Opp Town Hall",2,23,50
Akshay Hospital,Tumkur,"2Nd Cross, Ashoknagar",19,23,47
Akshay Mallya Hospital,Bangalore,"Varthur Main Road,Marathalli",10,31,36
Akshaya Nethralaya,Bangalore,"#227/A,Vidyagiri Layout N Exit O Axis Bank Nagarbhavi Circle,Bangalore",13,39,19
Akshaya Nursing Home,Kolar,"3Dr Cross Gowripet, Kolar",18,33,6
Amma Hospital,Anekal,"32/515,Near Sri Rama Temple",11,31,30
Amrik Nethralaya,Bangalore,"#346, Hrbr 1St Kalyan Nagar,4Th Cross, 7Th B Main.",20,33,67
Amruth Hospital,Davangere,"#1643, Opp:K.E.B.Office, Vidyarthi Bhavan, Davangere",4,37,20
Amrutha Hospital,Bangalore,# 1 Near Water Tank Jakkur Main Road Amruthahalli Bangalore 560092,16,20,38
Ananya Hospital Pvt Ltd,Bangalore,"389/44, 19Th Main,Rajajinagarrajajinagar",14,29,12
Annadaneshwara Hospital,Raichur,"Hahe Road, Sindhanur",3,27,41
Annapoorna Orthopaedic & Speciality Hospital,Mysore,"#953, Kantaraj Urs Road, Lakshmipuram, Mysore-570004",20,33,30
Annapurna Hospital,Chickmangalur,"K.M. Road, Chikmagalur",11,20,41
Annapurna Multi Speciality Hospital,Gangavathi,"Sri Krishnadevaraya Marga-Gangavathi, Koppal Dist, Karnataka-583227, Near Bus Stand",13,27,29
Anugraha Hospital,Bangalore,"No 18/2,1St Cross,M.C. Layout,Vijayanagar",6,4,40
Anugraha Hospital,Davangere,"# 2698,2Nd Main,2Nd Cross,M.C. B Block",20,28,23
Anugraha Nursing Home,Bangalore,"No 2,Vinayaka Circle, Palace Guttahalli Main Road, Bangalore-560003Circle Palace Guttahalli Main",8,15,25
Anugrahaa Hospital,Bangalore,"55/3A, Govindana Setty Palya Road Konappana Agrahara Electronic City Infosysbangalore South Taluk",12,6,21
Anuradha Nursing Home,Shimoga,"1St Cross, Raghavendra Extension, Thirthahalli.",13,38,27
Apex Hospital,Bidar,"Opp Ganesh Maidan, Bidar, Karnataka",17,31,51
Apollo B.G.S Hospitals,Mysore,Adichunchanagiri Roadkuvempunagar Road,1,40,5
Apollo Hospitals,Bangalore,"No.154/11,Opp To Iimb,Bannerghatta Road,",13,3,48
Apollo Koramangala Cradle Limited,Bangalore,"#25. 46Th Cross, 5Th Block, Jayanagar, Bangalore, Karnataka",15,26,48
Apollo Koramangla Cradle Limited,Bangalore,"No.58, 5Th Cross, 18Th Main Koramangla, 6Th Block, Bangalore, Karnataka.",13,22,37
Apoorva Hospital,Davangere,"3Rd Main Road, 9Th Cross, J.P. Extention.",18,38,31
Apoorva Multispeiality Hospital,Belgaum,"Shreem 4889/90, Off Dr S P M Road, Near Prakash Theatre, Shastrinagar, Belgum- 590002",0,27,42
Apple Hospital,Bangalore,#32 Maruthi Complex M S Nagar Bus Stop Banaswadi Main Road Bangalore,20,0,13
Aravinda Hospital,Mysore,"#644,4Th Main, Aravinda Nagar,",13,39,69
Archana Hospital,Mandya,"K.R. Road, Ashok Nagar, Mandya-571401Mandya",18,7,40
Aruna Hospital,Tumkur,"Dr.Radhakrishan Road, Tumkur",11,24,58
Arunodaya Hospitals,Bangalore,"# 18-23,4Th And 5Th Cross Mallasandra Main Road",15,25,14
Arya Medical Centre,Ankola,Dinkar Desai Road.,8,2,45
Ashirvad Hospital,Chickmangalur,"Rathnagiri Road,",0,15,16
Ashok Hospital,Bangalore,"#65,N.H.C.S. Lay-Out, 3Rd Stage, 4Th Block, Basaveshwar Nagar, Kamalanagar Main Road.",5,20,37
Ashraya Hospital,Bangalore,"#26, Jetiappa Complex,Yelachenahalli, Kanakapura Rd",2,6,55
Ashraya Hospital,Chickmangalur,P B No 77 Naidu Streetchikmagalur,13,38,4
Ashraya Hospital,Davangere,"No.1977/1 & 2,Mcc 'A' Block,Shamanur Road,Davanagere",3,11,41
Ashraya Medinova Pvt Ltd,Bangalore,"Magadi Main Road,Sunkadakatte,Srigandadakaval,",1,25,24
Ashwini Hospital,Bangalore,"#129, Katruguppa, Bsk 3Rd Stg,",16,36,43
Ashwini Hospital,Bangalore,"B.B.Road, Yelahanka,Bangalore-560064",15,20,24
Ashwini Hospital,Dakshinakannada,"Nh-48, Nellyady,Dakshina Kannadadakshina Kannada",2,32,16
Ashwini Nursing Home,Bangalore,"#9, 1St A Cross. T.C. Palya Main Road, Akshyanagar, Ramamurthy Nagar.",7,0,60
Ashwini Nursing Home,Bangalore,"#382,Narayanappa Buildingd Ramamurthynagar",2,39,47
Ashwini Nursing Home,Davangere,"Akka Mahadevi Road,A.V.K.College Road,P.J.Extension,Near Bapuji Corporation Bank,",5,8,47
Asian Specialty Hospital (A Unit Of Orch Hospital And Healthcare Services Llp),Hsr Layout,"# 11/A, 9Th Main, 13Th Cross, 6Th Sector Hsr Layout, Outer Ring Road, Bangalore-560102Hsr Layout",20,9,1
Athena Hospital,Mangalore,"Falnir Road, Mangalore-575001, Opp Ymca, Near Platinum Theatre",12,28,67
Athreya Hospital,Virajpet,"Gonikoppal Road Opp, Kstrc Bus Stands.Kodagu",5,7,11
Avadhani Nethralaya,Bangalore,"No.33,1St Floor,Patalamma Temple Street,Basavanagudi,",4,37,13
Avhieta Hospital & Health Care,Bangalore,"280/1 Byrathi Cross, Hennur Bagalur Main Road, Bangalore-560077",0,4,17
Avinash Shah Memorial Multispeciality Hospital,Gulbarga,"184-20/08/2007,Jayanagar,Sedam Road",7,18,45
B.A Hospital & Training Centre,Bantwal,"Thumbay,Bantwal",20,20,66
B.G. Hospital,Bangalore,"Mayamma Thimmappa Complex, Tumkur Road, Anchepalya.",11,30,63
B.G.S Vivus Heart Centre,Mandya,"Bandhi Gowda Extension,Bangalore Mysore Highway,",2,13,36
B.J. Lingegowda Hospital,Chanapatna,Bangalore-Mysore Road,2,27,52
B.Siddaramanna Hospital,Tumkur,"Opp Ib Railway Station Road,Gandhinagar",15,4,19
Bacc Health Care Private Limited,Bangalore,"No 6/7, Kumara Krupa Road,High Grounds,",1,19,40
Bahusar Nursing Home,Mysore,"#3587,B.M. Road,Hunsur.",12,13,50
Balaji Hospital,Bangalore,"40/1, J.J.R. Nagar Main Road,K.H. Ranganath Colony.",9,34,36
Balaji Hospital,Tumkur,"B.H. Road, Tiptur.Near Aralikatte",10,4,63
Balaji Nursing Home,Bangalore,"Dommasandra Bus Stop,",10,24,55
Balaji Nursing Home,Chickmangalur,"T.B. Road,Kadur.",13,4,35
Balanku Hospital,Raichur,"Near Basavana Bhavi Chowk, Basavanagara, Raichur-584102",20,13,56
Banashankari Hospital Pvt Ltd,Hubli,"Chitguppipark, Pinto Road,Hubli Dharkiad",18,35,29
Bangalore Baptist Hospital,Bangalore,"Bellary Road, Hebbal, Bangalore-560024, Opp University Of Agricultural Sciences (Near Hebbal Flyower)",8,2,6
Bangalore Eye Hospital & Retina Centre,Bangalore,"4C,426 4Th Cross, 2Nd Block,Kalyannagar.",20,0,4
Bangalore Nethralaya Super Speciality Eye Hospital,Bangalore,"#946,21St Main, Near Bda Complex,Banashankari ,2Nd Stage",1,26,35
Bapuji Nursing Home,Tumkur,"1St Cross, Someshwar Puram,Tumkur-572102.",10,4,11
Basappa Memorial Hospital,Mysore,"22-B, Vinobha Road, Mysore-570012",9,9,5
Basappa Multispeciality Hospital,Chitradurga,"Basapa Hospital Building,Turuvanur Road,",1,8,51
Basavanagudi E.N.T. Care Centre,Bangalore,"44/1, H.B. Samaja Road, Basavanagudi",4,7,40
Basavangudi Medical Centre,Bangalore,"84/1, R.V. Road, Basavanagudi,Bangalore-560004.",0,10,40
Beams Hospitals Privated Limited,Bangalore,"640, 12Th Main, 80 Ft Road, 4Th Block, Koramangala, Bengaluru-560034",4,34,48
Belaku Eye Hospitals Pvt Ltd,Kengeri Upanagara,"#769, 1St Cross, Ring Road, Kengeri Upanagar, Bangalore-560060Kengeri Upanagara",20,27,37
Belgaum Cancer Hospital Pvt Ltd,Belgaum,"#9666A-2/D,Ashok Nagar, Belgaum-590010",14,4,19
Belgaum Children'S Hospital Pvt Ltd,Belgaum,"1St Floor,Samsukha Complex,Khade Bazar",5,2,49
Belle Vue'S Cambridge Hospital,Bangalore,"18/17, Cambridge Road, Ulsoor, Bangalore-560008",16,3,47
Benaka Health Centre,Ujjire,"Lhh Road,Near Jyothi Takies,Mangalore-575003",20,36,43
Bgs Global Hospital,Bangalore,"#67,Uttarahalli Road,Kengeri",19,23,22
Bhadra Nursing Home,Bhadravathi,Gandhinagar,10,4,42
Bhagavathi Multi Speciality Hospital,Hsr Layout,"L-168, 6Th Sector, Hsr Layout, Bangalore-560102",18,2,12
Bhagwan Mahaveer Darshan Eye Hospital,Mysore,"Opp. K.R. Mills, Mysore Bangalore Road, Siddalingapura, Mysore-570003",1,21,10
Bhagwan Mahaveer Jain Heart Centre( A Unit Of Srinivasa Cardiology Centre Pvt Ltd),Bangalore,"#8,Millers Tank Bund Road Near Cantonment Railway Station",16,25,58
Bhagwan Mahaveer Jain Hospital,Bangalore,"No.17, Millers Road, Vasanthnagar, Bangalore-560052",2,8,44
Bhagwan Mahaveer Jain Netralaya,Bangalore,"#3, Railway Platform Road,Sheshadripuram, Policestation Opp. Roadsheshadripuram",19,3,39
Bhagwat Maternity And Nursing Home,Shimoga,"Court Road,Sagar",6,0,24
Bhanu Nursing Home,Bangalore,"69/5B, Bommanahalli, Hosur Rd,Bangalore",16,34,19
Bharath Hospital & Institute Of Oncolgy,Mysore,"# 438, Outer Ring Road, Hebbal.",18,35,44
Bharath Nursing Home,Bangalore,"# 1402, Near Vegitable Market, J.P Nagr 1St Phase, Bangalore-560078Kanakapura Main Road.",1,19,37
Bharathi Hospital,Channarayapatna,Dr.Bharathi Ravindranath Bajab Soaw Room,16,13,62
Bharathi Hospital,Tumkur,"4Th Cross,Barkline Road, K.R. Extension, 4Th Cross, Tumkur-572101",5,40,21
Bharathy Hospital,Bangalore,"#4,Nagarabhavi Main Road,Prashanth Nagar",10,16,56
Bhate Hospital And Maternity Home Chikodi,Belgaum,"#1243, Basaveshwar Circle, Chikodi, Belgaum-591201",5,40,56
Bhavana Nursing Home,Anekal,Mysore Bank Road,11,32,57
Bibi Ayesha Mili Hospital,Bangalore,"242, Old Mysore-Bangalore Rd,Mysore",16,31,39
Bilagi Hospital & Research Centre,Hubli,Opp Nehru Stedium Main Gate,2,10,52
Bilva Hospital,Guttahalli,"No. 21, 22, 2Nd Main Palace Guttahalli, Bangalore-560003, Near Vinayaka Circle",10,7,22
Brahma Nursing Home,Karwar,"Nadangadda, Karwar.",4,40,1
Brookefield Hospital (A Unit Of Sanjeevini Healthcare),Kundalahalli,"#521, 522, Vijaylakshmi Square, Itpl Main Road, Kundalahalli, Bangalore-560037Kundalahalli",20,38,12
C.S.I. Hospital,Chikkaballapur,"C.S.I. Hospital Road,Kolar.",1,14,51
C.S.I. Lombard Memorial Hospital,Udupi,Mission Hospital Road,14,30,60
C.S.I. Redfern Memorial Hospital,Hassan,"Race Course Road, P.O Box No.127.",9,21,61
Canara Health Care Limited,Kumta,"Baggon Road,",16,38,63
Cauvery Hospital,Mysore,"# 756, New Kantharaje Urs Roadsaraswathipuram Mysore",20,30,56
Cauvery Hospital,Mysore,"Terission College Road,Bannur Road,Shidharthnagar",18,36,3
Cauvery Orthopaedic Centre,Bangalore,"#408,20Th Main,W.O.C.Road,1St Block,Rajajinagar",2,15,20
Cdr Medical Centre,Bangalore,"Jayanagar, B'Lore",11,6,21
Chaitanya Hospital,Bangalore,"No. 80, 3Rd Cross,P & T Colony,R.T.Nagarr.T. Nagar,Bangalore-560036.",16,32,30
Chaitanya Medical Centre,Bangalore,"# 771/24, Khb , Asector, Yelahanka, Bangalore, Karnataka",6,9,16
Chaitra Hospital,Mysore,"# 16/84, 15Th Cross, Basaweshwara Blockk.R. Nagar, Basavaswara Block,",19,12,53
Chandana Hospital,Bangalore,"#54, 4Th Cross, 4Th Main, Ngefnrupathunganagar, Nagarbhavi,",15,37,12
Chandini Hospital,Shimoga,"Chamarajpet,Sagarshivamogga",7,17,27
Chandrakala Hospital And Institute Of Medical Research,Mysore,"Plot A,Kalidasa Road,Jayalakshmipuram",0,11,18
Chanre Rheumatology & Immunology Centre & Research (A Unit Of Chanre Darsha Health Care Pvt Ltd),Bangalore,"#149,15Th Main,3D Stage,4Th Block,Nhc Layout,Basaveshwar Nagar,",14,15,41
Charaka Hospital,Tumkur,"No-5, Opp-Neps, 2Nd Main, Shankarapuram, B.H Road, Tumkur-572102",2,31,39
Chaya Hospital ( A Unit Of Chaya Healthcare Pvt Ltd),Bangalore,"# 6C-335, 4Th Main, 6Th Cross, Ombr Layout, Bhuvanagiri.",0,9,20
Chetana Hospital,Kadur,M.T. Road Puttur,13,3,25
Chethana Hospital,Puttur,Shree Mahamaya Temple Road Dakshina Kannada,1,0,17
Chincholi Eye Hospital,Gulbarga,Old Jewargi Cross Road,19,31,63
Chinmaya Mission Hospital,Bangalore,"1/1,C M H Road,Indiranagar",13,21,42
Chinmaya Narayana Hrudayalaya,Bangalore,Cmh Road Indiranagar 2Nd Stage Chinmaya Missin Hospital,19,38,69
Chinmayi Hospital,Bangalore,"#34,Brindavan Layout,Subramanyapura Main Road",17,36,69
Chinmayi Hospital,Kundapur,"Church Road, Kundapura, Udupi-576201",11,32,52
Chiranjeevi Hospital & Maternity Home,Bangalore,"16Th 2Nd Main, Sri Manjunatha Temple St, Mysore Bank Colony,",8,18,42
Chiranjeevi Maternity Hospital,Bijapur,Divatageri Galli Near Rayar Math,10,14,11
Chirashree Nursing Home,Mangalore,"1-33/2 & 1-33/3, Iddya Suratkal",11,18,1
Chitra Hospital,Mysore,"25/1A, Irwin Rdmysore",5,16,30
Chittaragi Hospital,Bagalkot,Bramanand Asram Road Bus Stand Road Rabkavi,15,37,38
Chord Road Hospital Pvt Ltd,Bangalore,100 Bima Jyoti Lic Colony2Nd Stage West Of Chord Road,2,16,11
Choudhari Hospital,Bijapur,"Shikharakhana Road, Near Lic Office",6,33,70
Chougala Hospital,Belgaum,"Shanti Nagar,Hallyal Road,Athani,",19,36,39
Citi Hospital,Bangalore,"25/91,West Of Chord Road, 20Th Main, 2Nd Block, Rajajinagar, Bangalore",17,18,26
Citi Hospital,Bellary,"No.52/A, Dam Road,Hospet, Bellary-583203",10,28,2
City Central Hospital Pvt Ltd,Davangere,"# 17, Akkamahadevi Road,Near Chethana Hotel",4,33,1
City Clinic,Hubli,"Madhavpur, Hubli",16,14,28
City Hospital,Shimoga,"R.M.R. Road, Durgigudi,Shimoga-577201.",19,37,0
City Hospital & Diagnostic Centre,Udupi,"Vidyaranya Mag,Behind Alankar Theatreudupi",18,27,21
City Hospital Research & Diagnostic Centre,Mangalore,"Pound Garden,Kadri,Dakshina Kannada,",7,30,25
City Medical Centre,Davangere,"Badila Guthu Complex1St Main, M.C.C.B Block",9,4,47
Cloudnine (A Venture Of Kids Clinic Pvt Ltd,Bangalore,"#1533,9Th Main, Jayanagar 3Rd Block",7,40,36
Cloudnine (Kids Clinic India Pvt. Ltd.),Bangalore,"115, Kodi Halli, Old Airport Road, Bangalore-560017",10,13,0
Colaco Hospital,Mangalore,"Lower Bendore Main Road,Dakshina Kannada,",1,40,63
Columbia Asia Hospital,Mysore,"85-86,Bangalore Mysore Ring Road, Junction, Bannimantap A Layout, Siddiqui Nagar",6,8,27
Columbia Asia Hospital Pvt Ltd,Bangalore,"Kirloskar Business Park, Bellary Road, Hebbal, Bangalore-560024",19,14,68
Columbia Asia Referral Hospital,Bangalore,"#26/1, 80Feet Dr.Rajkumar Road,Malleshwaran West, Bangalore-560055",10,26,67
Cosmo Multispeciality Hospital,Bangalore,"#64,1St Cross,Kalidasa Circle,Srinagar",10,14,52
Csi-Church Of South India Hospital,Bangalore,"Post Beg No #4, Hazarat Kambal Posh Roadposh Road,",10,33,65
D.G. Hospital (Devambika Nursing Home),Bangalore,"274 / 275, Mkp Road, Padmanabhanagar, Puttalingaiah Road, Bangalore-560070",6,32,47
Daddenavar Hospital & Research Centre,Bagalkot,Ward # 10 & Rural Police Stationnear Rural Police Station,20,5,52
Dakshata Hospital Pvt Ltd,Belgaum,"3375,Subalakshmi Building,College Road",16,1,56
Dange Hospital,Hassan,"M.G. Road, Near Adichundhangiri School, Hassan-573201",9,4,12
Davangere Heart Hospital (Unit Of Suraj Hospital Pvt Ltd),Davangere,"3639,M.C.Colony 9Th Main",20,27,20
Deccan Hospital,Kolar,"Opp Ksrtc Depot, Ashwini Extension, Chintamani, Chikballapura-563125",18,15,44
Deccan Medical Centre Pvt Ltd,Belgaum,"Goods Shed Road, Near Railway Station",0,26,56
Deeksha Hospital,Bangalore,#387/347 Bb Road Nehrunagar Yelahanka Old Town Next To Post Office,6,34,41
Deepa Hospital,Bangalore,"# 27,Old Madra Road K.R. Puram Ext Bangalore",15,27,62
Deepa Nursing Home,Chickmangalur,"Chikmanglur, Karnataka",16,39,13
Deepak Hospital,Bangalore,"259, 33Rd Cross, Kanakapura Main Road, 7Th Block, Jayanagar-560082",11,20,27
Deepashri Hospital (A Unit Of Cadms Trust),"Bangalore,",#86. 2Nd Main 16Th Cross Malagala Nagarabhavi 2Nd Stage Bangalore560072,15,12,12
Devi Super Speciality Eye Hospital Private Limited,Bangalore,"#434, 18Th Main, 80 Feet Road, 6Th Block Bus Depot. Block,Koramangala. Bangalore-560095",11,40,7
Dhanush Hospital,Bagalkot,Mahaveer Road Bagalkot,13,21,33
Dhanush Hospital,Kolar,"Behind Municipal Park,N.R.Extension,Chintamani,",1,15,37
Dhanush Hospital,Nagarbhavi,"#63, Byraveshwara Nagar 2Nd Main, Nagarbhavi Main Raod, Bangalore-560072",11,7,8
Diagram Health Care,Bangalore,"4, R.M.V.Extensionmekhri Circle",7,24,37
Divakars Global Hospitals,Bangalore,"No.220, 9Th Cross, J.P.Nagar 2Nd Phase, Bangalore-560078",8,17,39
Divine Speciality Hospital,Bangalore,"#110,6H Main,I.T.I Layout,Benson Town Post",6,37,26
Divyadrishti Eye Hosptial,Bangalore,"996/22, Service Road,Rpc Layout, Bangalore",13,20,47
Dr Agarwal'S Healthcare Ltd.,Bangalore,"Kade, Complex No 869, 2Nd Stage, Wcr 3Rd Stage, Basaveshwaranagar",9,27,23
Dr Handral Nursing Home,Ranbennur,"No.14,Rajendra Nagar,",12,3,25
Dr Lodaya Hospital,Ranbennur,"Ashwini Nagar,Just Behind Bus Stand,",2,23,43
Dr Mahadevappa Eye Laser Hospital,Tumkur,"15Th Cross, S.S. Puram, (Horticulture Office Road) Tumkur-572102",20,14,68
Dr Ramesh Hospital For Piles & Proctology,Mysore,410 Contour Road Gokulam Mysore -570002,14,40,42
Dr. Bidari'S Ashwini Hospital,Bijapur,B.L.D.E. Road,5,13,21
Dr. Gokavi Maternity & General Hospital,Hubli,Karwar Road Hubli,18,10,39
Dr. Malathi Manipal Hospital,Bangalore,"45/1, 45Th Cross, 9Th Block, Jayanagar, Bangalore-560069",19,38,63
Dr. Manohara Sai Gowda Memorial Hospital,Mulbagal,"Nh-4, Opposite Inspection Bungalow, Mulbagal",8,6,4
